exp_list,condition,nam,cue,item,stimulus,group,id,response,response_type,rt
3,ref_let,ref,let,57,осьминог,Y,Y3,осьминог,1,882
3,ref_let,ref,let,56,череп,Y,Y3,череп,1,829
3,ref_let,ref,let,72,выключатель,Y,Y3,выключатель,1,1246
3,ref_let,ref,let,78,метла,Y,Y3,метла,1,926
3,ref_col,ref,col,5,акула,Y,Y3,акула,1,1236
3,ref_col,ref,col,4,официант,Y,Y3,официант,1,717
3,ref_col,ref,col,16,скалка,Y,Y3,скалка,1,1989
3,ref_col,ref,col,22,парашют,Y,Y3,парашют,1,1298
3,ref_col,ref,col,30,телескоп,Y,Y3,телескоп,1,4348
3,ref_col,ref,col,36,жираф,Y,Y3,жираф,1,850
3,ref_col,ref,col,44,фонтан,Y,Y3,фонтан,1,701
3,ref_col,ref,col,45,кроссворд,Y,Y3,кроссворд,1,1095
3,ref_col,ref,col,54,кактус,Y,Y3,кактус,1,992
3,ref_col,ref,col,55,стадион,Y,Y3,стадион,1,1116
3,ref_col,ref,col,61,кобура,Y,Y3,"я не знаю, как называется эта штука",3,
3,ref_col,ref,col,71,мельница,Y,Y3,мельница,1,1132
3,ref_col,ref,col,74,палитра,Y,Y3,палитра,1,3043
3,inf_non,inf,non,8,невеста,Y,Y3,невеста,1,1701
3,inf_non,inf,non,35,шприц,Y,Y3,шприц,1,969
3,inf_non,inf,non,6,аквариум,Y,Y3,аквариум,1,957
3,inf_non,inf,non,24,кастрюля,Y,Y3,кастрюля,1,1836
3,inf_non,inf,non,14,иероглиф,Y,Y3,иероглиф,1,1480
3,inf_non,inf,non,19,точилка,Y,Y3,точилка,1,993
3,inf_non,inf,non,31,черепаха,Y,Y3,черепаха,1,1146
3,inf_non,inf,non,40,бинокль,Y,Y3,"не бинокль, а как-то по-другому называется... так, короче, идем далее.",3,
3,inf_non,inf,non,58,кепка,Y,Y3,кепка,1,1013
3,inf_non,inf,non,62,прищепка,Y,Y3,,3,
3,inf_non,inf,non,63,трамвай,Y,Y3,"поезд, электричка, метро",0,
3,inf_non,inf,non,70,микрофон,Y,Y3,микрофон,1,1701
3,inf_non,inf,non,73,камин,Y,Y3,печь... батарея,2,2575
3,inf_let,inf,let,1,компас,Y,Y3,компас,1,1141
3,inf_let,inf,let,25,сейф,Y,Y3,сейф,1,1275
3,inf_let,inf,let,2,карета,Y,Y3,карета,1,2884
